antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'RefBks', 'YouthBks'})","frozenset({'ChildBks', 'CookBks'})",0.08125,0.242,0.05525,0.6799999999999999,2.809917355371901,1.0,0.0355875,2.3687499999999995,0.7010804321728692,0.20615671641791047,0.5778364116094986,0.45415289256198343
"frozenset({'RefBks', 'DoItYBks'})","frozenset({'ChildBks', 'CookBks'})",0.0925,0.242,0.06125,0.6621621621621622,2.736207281661827,1.0,0.038865,2.24368,0.6992072862202732,0.22415370539798718,0.5543036440134066,0.4576306678579406
"frozenset({'YouthBks', 'DoItYBks'})","frozenset({'ChildBks', 'CookBks'})",0.10325,0.242,0.067,0.6489104116222761,2.681447981910232,1.0,0.04201350000000001,2.1589931034482768,0.6992664222794587,0.2407906558849955,0.5368211235122377,0.4628849578772538
"frozenset({'GeoBks', 'RefBks'})","frozenset({'ChildBks', 'CookBks'})",0.08175,0.242,0.05025,0.6146788990825688,2.5399954507544167,1.0,0.030466500000000004,1.9671904761904762,0.6602760767358417,0.1837294332723949,0.4916608167316211,0.4111617635908712
"frozenset({'GeoBks', 'YouthBks'})","frozenset({'ChildBks', 'CookBks'})",0.1045,0.242,0.06325,0.6052631578947368,2.5010874293170944,1.0,0.037961,1.9202666666666666,0.6702109581725051,0.22330097087378642,0.47923899458408553,0.4333133971291866
"frozenset({'GeoBks', 'DoItYBks'})","frozenset({'ChildBks', 'CookBks'})",0.101,0.242,0.0605,0.599009900990099,2.4752475247524752,1.0,0.03605799999999999,1.890320987654321,0.6629588431590655,0.21415929203539824,0.4709893152903681,0.4245049504950495
"frozenset({'GeoBks', 'ChildBks', 'CookBks'})",frozenset({'YouthBks'}),0.1095,0.23825,0.06325,0.5776255707762558,2.4244515037828154,1.0,0.037161625000000004,1.8034945945945948,0.6597816654941379,0.2223198594024605,0.44552093308336826,0.421551505220237
"frozenset({'ChildBks', 'RefBks', 'CookBks'})",frozenset({'DoItYBks'}),0.1035,0.25475,0.06125,0.5917874396135266,2.323012520563402,1.0,0.034883375,1.8256420118343197,0.6352755045130155,0.20622895622895626,0.45224748690174665,0.41610961774591937
"frozenset({'GeoBks', 'DoItYBks'})",frozenset({'YouthBks'}),0.101,0.23825,0.0545,0.5396039603960395,2.264864471756724,1.0,0.03043675,1.65455376344086,0.6212152136420691,0.19139596136962247,0.3956074307791789,0.3841776360217344
"frozenset({'ChildBks', 'RefBks', 'CookBks'})",frozenset({'YouthBks'}),0.1035,0.23825,0.05525,0.533816425120773,2.240572613308596,1.0,0.030591125000000004,1.6340129533678758,0.6176079424004363,0.19284467713787087,0.38800974745096556,0.3828578452991063
"frozenset({'ChildBks', 'DoItYBks', 'CookBks'})",frozenset({'YouthBks'}),0.12775,0.23825,0.067,0.5244618395303327,2.201308875258479,1.0,0.03656356250000001,1.601869341563786,0.6256518354059455,0.22408026755852845,0.3757293594096917,0.40283952417230173
"frozenset({'ChildBks', 'YouthBks', 'CookBks'})",frozenset({'DoItYBks'}),0.12,0.25475,0.067,0.5583333333333333,2.191691200523389,1.0,0.036430000000000004,1.6873584905660377,0.617876526458616,0.21770917952883836,0.40735770994073583,0.41066813869807006
"frozenset({'ChildBks', 'RefBks'})",frozenset({'DoItYBks'}),0.12825,0.25475,0.071,0.5536062378167641,2.173135379064825,1.0,0.038328312499999996,1.6694901746724888,0.6192548176930813,0.22756410256410253,0.4010147437997506,0.41615542509091397
"frozenset({'GeoBks', 'ChildBks', 'CookBks'})",frozenset({'DoItYBks'}),0.1095,0.25475,0.0605,0.5525114155251142,2.1688377449464737,1.0,0.032604875000000005,1.665405612244898,0.6051920872756973,0.1991769547325103,0.3995456766522834,0.3949995742983765
"frozenset({'GeoBks', 'ChildBks'})",frozenset({'YouthBks'}),0.14625,0.23825,0.0755,0.5162393162393163,2.166796710343405,1.0,0.0406559375,1.57464222614841,0.6307341006273453,0.24433656957928807,0.36493510500730725,0.4165666675635197
"frozenset({'GeoBks', 'CookBks'})",frozenset({'YouthBks'}),0.15625,0.23825,0.08025,0.5136000000000001,2.155718782791186,1.0,0.043023437500000004,1.5660978618421055,0.6353986385139034,0.2553699284009547,0.36147029865441427,0.42521552990556144
"frozenset({'ChildBks', 'YouthBks', 'RefBks'})",frozenset({'CookBks'}),0.062,0.4155,0.05525,0.8911290322580645,2.144714879080781,1.0,0.029489,5.368740740740741,0.5690165848199211,0.13084665482534044,0.8137365821352686,0.5120506773805364
"frozenset({'ChildBks', 'YouthBks'})",frozenset({'DoItYBks'}),0.1475,0.25475,0.08025,0.5440677966101696,2.1356930190781926,1.0,0.04267437500000001,1.6345631970260226,0.6237746777391034,0.24922360248447206,0.38821576197272006,0.42954125846210145
"frozenset({'CookBks', 'RefBks'})",frozenset({'DoItYBks'}),0.13975,0.25475,0.0745,0.5330948121645795,2.0926194785655725,1.0,0.038898687499999994,1.59614846743295,0.6069515066051112,0.23281250000000003,0.37349186469584644,0.41276919214705915
frozenset({'RefBks'}),"frozenset({'ChildBks', 'CookBks'})",0.20475,0.242,0.1035,0.5054945054945055,2.0888202706384527,1.0,0.0539505,1.5328444444444445,0.6554679277777018,0.30152949745083757,0.34761808112731596,0.4665902279538643
"frozenset({'CookBks', 'RefBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.0745,0.394,0.06125,0.8221476510067114,2.0866691649916533,1.0,0.031896999999999995,3.407320754716981,0.5626875709765267,0.15039901780233272,0.7065142755886327,0.48880225189929477
frozenset({'YouthBks'}),"frozenset({'ChildBks', 'CookBks'})",0.23825,0.242,0.12,0.503672612801679,2.08129178843669,1.0,0.0623435,1.527217758985201,0.6820205666776064,0.3331020124913255,0.34521452876210945,0.49977019069836015
